category,city,end_time,name,site_lat,site_lng,site_name,start_time
纺织纺机,上海市,2018-04-13,2018第一百届中国针棉织品交易会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-11
纺织纺机,上海市,2018-04-13,2018第十八届中国国际染料工业及有机颜料纺织化学品展览会,31.1883954089,121.496502454,上海世博展览馆,2018-04-11
安全防护,上海市,2018-04-13,第96届中国劳动保护用品交易会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-11
奢侈品,上海市,2018-04-12,2018上海国际奢侈品包装展,31.2308893627,121.459315403,上海展览中心,2018-04-11
医疗保健,上海市,2018-04-13,第79届全国药品交易会,31.1954553942,121.308713553,国家会展中心上海,2018-04-11
食品饮料,上海市,2018-04-14,2018中国国际大豆食品加工技术及设备展览会,31.1737721999,121.434634495,上海光大会展中心,2018-04-12
音响乐器,北京市,2018-04-13,2018中国国际视听集成设备与技术展,40.0050493821,116.396532673,北京国家会议中心,2018-04-11
环保水处理,南京市,2018-04-14,2018全国化工行业园区污染综合治理大会,32.0822187335,118.813278296,南京国际展览中心,2018-04-12
机械工业,成都市,2018-04-15,2018成都国际数码印花数字雕刻展览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
光电技术,成都市,2018-04-15,第十一届成都国际照明及LED展览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
印刷包装,成都市,2018-04-15,2018第八届成都国际印刷包装节,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
交通工具,南京市,2018-04-14,2018中国南京国际客车及零部件展览会,32.0001775899,118.724174266,南京国际博览中心,2018-04-12
广告媒体,成都市,2018-04-15,2018第十六届成都国际广告节,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
化工橡塑,成都市,2018-04-14,2018中国成都国际化工技术装备博览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
建材五金,成都市,2018-04-14,2018中国成都国际阀门管道流体工业展览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
房产家居,武汉市,2018-04-14,2018第四届武汉国际家具展览会,30.5133201709,114.248155501,武汉国际博览中心,2018-04-12
贸易进出口,厦门市,2018-04-15,2018厦门工业博览会暨第22届海峡两岸机械电子商品交易会,24.4735054247,118.189009566,厦门国际会展中心,2018-04-12
音响乐器,济南市,2018-04-15,2018第六届山东国际乐器业展览会,36.6711496271,117.088788201,山东机械设备展览中心济南解放东路69号,2018-04-12
文化艺术,兰州市,2018-04-16,2018第十届中国兰州艺术品收藏博览会,36.0745004954,103.856184181,甘肃国际会展中心,2018-04-12
奢侈品,上海市,2018-04-15,2018第九届上海国际高端生活方式展览会,31.2308893627,121.459315403,上海展览中心,2018-04-13
汽摩配件,上海市,2018-01-14,2018上海汽车博览会,31.1737721999,121.434634495,上海光大会展中心,2018-01-13
食品饮料,北京市,2018-01-14,2018中国冰淇淋冷食展览会,40.0771398326,116.55524372,中国国际展览中心新馆,2018-01-12
婚庆婚博,上海市,2018-01-19,2018第三十三届中国上海国际婚纱摄影器材展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-01-16
动漫游戏,上海市,2018-01-21,延期2018魔幻二次元AR,31.1883954089,121.496502454,上海世博展览馆,2018-01-19
食品饮料,武汉市,2018-01-22,2018第六届湖北武汉放心酒展览交易会暨放心食品购物节,30.585598843,114.280230907,武汉国际会展中心,2018-01-19
办公用品,成都市,2018-04-15,2018成都办公设备及打印耗材展览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-12
食品饮料,北京市,2018-01-21,2018中国北京国际食品及进口食品博览会,39.9462556053,116.350718971,北京展览馆,2018-01-19
建材五金,南京市,2018-01-22,2018第十七届南京家装主材博览会,32.0572355018,118.778074408,南京河西国际博览中心,2018-01-19
体育休闲,深圳市,2018-01-14,2018亚洲女子运动与时尚展,22.5363839471,114.066517985,深圳会展中心,2018-01-12
医疗保健,北京市,2018-01-21,2018北京国际营养健康产业博览会,39.9462556053,116.350718971,北京展览馆,2018-01-19
服装配饰,北京市,2018-01-15,2017中国国际时尚生活博览会,39.9462556053,116.350718971,北京展览馆,2018-01-12
贸易进出口,北京市,2018-01-28,2018年第十三届北京国际金融展览会,39.9462556053,116.350718971,北京展览馆,2018-01-25
食品饮料,北京市,2018-01-21,2018北京,39.9462556053,116.350718971,北京展览馆,2018-01-19
购物年货,嘉兴市,2018-01-30,2018海宁新春年货展销会,30.4421767993,120.618727108,海宁会展中心,2018-01-26
购物年货,南京市,2018-02-12,第十七届南京全国春节食品商品交易会,32.0822187335,118.813278296,南京国际展览中心,2018-01-26
建材五金,成都市,2018-04-13,2018第十九届中国国际水泥技术及装备展览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-11
文化教育,上海市,2018-01-28,2018上海国际少儿生活方式展,31.2308893627,121.459315403,上海展览中心,2018-01-26
购物年货,西安市,2018-02-13,第十六届西安年货会,34.2021162501,108.957182968,西安曲江国际会展中心,2018-01-26
购物年货,济南市,2018-01-28,2018全国年货精品展销会暨第十五届济南电视年货会,36.6410208515,117.030675538,济南舜耕国际会展中心,2018-01-20
购物年货,上海市,2018-02-12,2018第十二届华港迎春食品光大大联展,31.1737721999,121.434634495,上海光大会展中心,2018-01-25
购物年货,合肥市,2018-02-12,第十届中国合肥年货采购展览会,31.7859604137,117.229682151,安徽国际会展中心,2018-01-27
购物年货,昆明市,2018-02-13,2018第十二届昆明新春欢乐购物节昆明年货展销会,25.015358103,102.73777829,昆明国际会展中心,2018-01-29
体育休闲,北京市,2018-01-27,2018第十四届亚洲运动用品与时尚展,40.0050493821,116.396532673,北京国家会议中心,2018-01-24
暖通制冷,广州市,2018-04-16,2018第十五届广州国际车用空调及装备展览会,23.1016239365,113.374149961,广州保利世贸展览馆,2018-04-14
仪器仪表,南京市,2018-04-14,2018第十五届南京国际科学仪器及实验室装备展览会暨中国南京国际教育装备暨及科教技术展览会,32.0822187335,118.813278296,南京国际展览中心,2018-04-12
购物年货,温州市,2018-02-03,第16届温州迎春福年货商品博览会,28.0228723739,120.72531963,温州国际会议展览中心,2018-01-27
购物年货,乌鲁木齐市,2018-02-13,第十一届中国新疆新春年货博览会,43.884200728,87.6275464602,新疆国际会展中心,2018-01-27
建材五金,北京市,2018-04-16,2018北京国家木结构建筑与装饰配套设施展览会,39.9470088626,116.470306905,北京全国农业展览馆,2018-04-14
交通工具,临沂市,2018-04-16,2018中国临沂新能源汽车,35.0249309423,118.417878758,临沂国际会展中心,2018-04-14
建材五金,石家庄,2018-04-15,2018华北石家庄五金交易会,38.0489583146,114.522081844,石家庄老火车站会展中心,2018-04-14
安全防护,昆明市,2018-04-18,2018中国昆明东南亚南亚消防安全暨应急救援技术展览会,24.9491759312,102.714387262,昆明滇池国际会展中心,2018-04-16
孕婴童,北京市,2018-04-16,第二十七届京正北京孕婴童产品博览会,40.0771398326,116.55524372,中国国际展览中心新馆,2018-04-14
购物年货,成都市,2018-02-11,第二十二届中国四川新春年货购物节,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-01-28
食品饮料,沈阳市,2018-04-18,2018中国沈阳餐饮创新大会暨展览会,41.668369644,123.379619081,沈阳国际展览中心,2018-04-16
广告媒体,南昌市,2018-04-16,2018南昌广告标识及LED展览会,28.6105309367,115.801786398,南昌绿地国际博览中心,2018-04-14
