category,city,name,site_lat,site_lng,site_name,start_time,end_time
房产家居,上海市,2018中国上海国际智能家居展览会全智展,31.21315614,121.5727953,上海新国际博览中心,2018/4/2,2018/4/4
农林牧渔,哈尔滨市,2018东北三省畜牧业交易会暨哈尔滨畜牧产业博览会,45.76188107,126.7019144,哈尔滨国际会展中心,2018/4/3,2018/4/5
安全防护,郑州市,2018第十六届中国郑州社会公共安全产品博览会,34.77795862,113.7372866,郑州国际会展中心,2018/4/3,2018/4/5
体育休闲,广州市,2018第十二届广州国际台球及配套设施展,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/4/3,2018/4/5
钢铁冶金,上海市,2018第十四届中国上海国际铸造展览会,31.21315614,121.5727953,上海新国际博览中心,2018/11/19,2018/11/21
孕婴童,北京市,2018中国北京国际幼教装备及用品展览会,39.96787965,116.4497403,中国国际展览中心,2018/11/20,2018/11/22
文化教育,北京市,2018中国国际教育装备及智慧教育展览会,39.96787965,116.4497403,中国国际展览中心,2018/11/20,2018/11/22
医疗保健,广州市,2018中国广州国际康复设备暨福祉辅具展览会,23.10162394,113.37415,广州保利世贸展览馆,2018/4/2,2018/4/4
印刷包装,广州市,2018中国国际网印及数字化印刷展,23.10162394,113.37415,广州保利世贸展览馆,2018/11/21,2018/11/23
食品饮料,北京市,2018北京世界食品博览会,40.00504938,116.3965327,北京国家会议中心,2018/11/21,2018/11/23
美容美发,厦门市,2018福建厦门海峡两岸美容美发美体化妆用品展览会,24.47350542,118.1890096,厦门国际会展中心,2018/11/22,2018/11/24
食品饮料,上海市,2018亚洲果蔬产业博览会,31.19545539,121.3087136,国家会展中心上海,2018/11/22,2018/11/24
食品饮料,北京市,2018北京国际火锅食材用品展览会,39.96787965,116.4497403,中国国际展览中心,2018/11/26,2018/11/28
汽摩配件,上海市,2018上海国际汽车零配件维修检测诊断设备及服务用品展览会,31.19545539,121.3087136,国家会展中心上海,2018/11/28,2018/12/1
消费电子,宁波市,2018中国宁波家电配件采购展览会,29.87533863,121.6209057,宁波国际会展中心,2018/11/28,2018/11/30
机械工业,上海市,2018第九届中国国际工程机械建材机械矿山机械工程车辆及设备博览会上海宝马展,31.21315614,121.5727953,上海新国际博览中心,2018/11/27,2018/11/30
机械工业,郑州市,2018中国郑州国际电梯展览会,34.77795862,113.7372866,郑州国际会展中心,2018/11/23,2018/11/25
